id,country,flag
169,Palestinian Territory Occupied,🇵🇸
170,Panama,🇵🇦
171,Papua new Guinea,🇵🇬
172,Paraguay,🇵🇾
173,Peru,🇵🇪
174,Philippines,🇵🇭
175,Pitcairn Island,🇵🇳
176,Poland,🇵🇱
177,Portugal,🇵🇹
178,Puerto Rico,🇵🇷
179,Qatar,🇶🇦
180,Reunion,🇷🇪
181,Romania,🇷🇴
182,Russia,🇷🇺
183,Rwanda,🇷🇼
184,Saint Helena,🇸🇭
185,Saint Kitts And Nevis,🇰🇳
186,Saint Lucia,🇱🇨
187,Saint Pierre and Miquelon,🇵🇲
188,Saint Vincent And The Grenadines,🇻🇨
189,Saint-Barthelemy,🇧🇱
190,Saint-Martin (French part),🇲🇫
191,Samoa,🇼🇸
192,San Marino,🇸🇲
193,Sao Tome and Principe,🇸🇹
194,Saudi Arabia,🇸🇦
195,Senegal,🇸🇳
196,Serbia,🇷🇸
197,Seychelles,🇸🇨
198,Sierra Leone,🇸🇱
199,Singapore,🇸🇬
250,Sint Maarten (Dutch part),🇸🇽
200,Slovakia,🇸🇰
201,Slovenia,🇸🇮
202,Solomon Islands,🇸🇧
203,Somalia,🇸🇴
204,South Africa,🇿🇦
205,South Georgia,🇬🇸
116,South Korea,🇰🇷
206,South Sudan,🇸🇸
207,Spain,🇪🇸
208,Sri Lanka,🇱🇰
209,Sudan,🇸🇩
210,Suriname,🇸🇷
211,Svalbard And Jan Mayen Islands,🇸🇯
212,Swaziland,🇸🇿
213,Sweden,🇸🇪
214,Switzerland,🇨🇭
215,Syria,🇸🇾
216,Taiwan,🇹🇼
217,Tajikistan,🇹🇯
218,Tanzania,🇹🇿
219,Thailand,🇹🇭
17,The Bahamas,🇧🇸
220,Togo,🇹🇬
221,Tokelau,🇹🇰
222,Tonga,🇹🇴
223,Trinidad And Tobago,🇹🇹
224,Tunisia,🇹🇳
225,Turkey,🇹🇷
226,Turkmenistan,🇹🇲
227,Turks And Caicos Islands,🇹🇨
228,Tuvalu,🇹🇻
229,Uganda,🇺🇬
230,Ukraine,🇺🇦
231,United Arab Emirates,🇦🇪
232,United Kingdom,🇬🇧
233,United States,🇺🇸
234,United States Minor Outlying Islands,🇺🇲
235,Uruguay,🇺🇾
236,Uzbekistan,🇺🇿
237,Vanuatu,🇻🇺
238,Vatican City State (Holy See),🇻🇦
239,Venezuela,🇻🇪
240,Vietnam,🇻🇳
241,Virgin Islands (British),🇻🇬
242,Virgin Islands (US),🇻🇮
243,Wallis And Futuna Islands,🇼🇫
244,Western Sahara,🇪🇭
245,Yemen,🇾🇪
246,Zambia,🇿🇲
247,Zimbabwe,🇿🇼
